id,Kidney_GSH,Kidney_GSSG,Kidney_Total_GSH,Kidney_GSH_GSSG_Ratio,Kidney_Redox_Potential_GSSG_2GSH,BUN
DO-45,40.729,0.489,41.707,83.327,-196.783,26
DO-46,28.945,0.747,30.439,38.763,-181.882,32
DO-47,22.389,0.3,22.989,74.727,-187.261,35
DO-48,30.58,0.832,32.243,36.765,-181.909,32
DO-49,19.867,0.295,20.457,67.405,-184.264,29
DO-50,37.152,1.589,40.331,23.374,-178.432,19
DO-51,32.556,1.113,34.781,29.262,-179.679,17
DO-52,26.125,1.017,28.16,25.682,-174.959,23
DO-53,14.804,0.372,15.547,39.817,-173.215,18
DO-54,35.462,1.612,38.686,22.005,-176.993,22
DO-55,22.857,0.515,23.886,44.409,-180.533,24
DO-56,19.802,0.534,20.87,37.079,-176.173,24
DO-57,37.356,1.459,40.273,25.605,-179.733,25
DO-59,43.863,0.986,45.835,44.479,-189.33,18
DO-60,33.84,0.692,35.223,48.936,-187.123,21
DO-61,27.418,1.065,29.548,25.744,-175.642,30
DO-62,22.478,0.488,23.453,46.092,-180.809,19
DO-63,27.883,0.361,28.605,77.141,-190.643,22
DO-64,25.504,0.588,26.68,43.408,-181.702,NA
DO-65,22.398,0.279,22.955,80.368,-188.246,18
DO-66,18.962,0.52,20.002,36.472,-175.367,26
DO-67,23.619,0.337,24.293,70.102,-187.121,23
DO-68,17.815,0.519,18.852,34.328,-173.711,19
DO-69,18.715,0.337,19.388,55.559,-180.857,18
DO-70,44.401,0.634,45.67,70.011,-195.601,24
DO-71,39.774,0.403,40.579,98.81,-198.758,23
DO-72,13.583,0.25,14.084,54.311,-176.237,23
DO-73,16.418,0.271,16.961,60.475,-180.235,16
DO-74,25.238,0.175,25.587,144.339,-197.736,27
DO-75,14.911,0.142,15.196,104.848,-186.348,20
DO-76,12.103,0.137,12.377,88.222,-181.214,21
DO-77,18.56,0.707,19.974,26.261,-170.656,24
DO-78,25.779,1.391,28.561,18.533,-170.388,20
DO-79,21.592,0.475,22.542,45.453,-180.08,25
DO-80,20.806,0.52,21.846,40.025,-177.868,21
DO-81,19.481,0.413,20.307,47.161,-179.191,25
DO-82,27.36,0.502,28.363,54.548,-185.723,18
DO-83,28.458,0.339,29.135,84.035,-192.07,21
DO-84,20.478,0.566,21.61,36.186,-176.297,19
DO-85,23.403,0.332,24.067,70.503,-187.074,22
DO-86,36.498,0.259,37.016,140.918,-202.38,19
DO-87,25.359,0.405,26.168,62.686,-186.573,16
DO-88,20.485,0.297,21.079,68.872,-184.965,19
DO-89,27.867,0.622,29.111,44.811,-183.323,22
DO-90,17.653,0.154,17.961,114.633,-189.822,20
DO-91,10.958,0.16,11.278,68.42,-176.454,18
DO-92,18.185,0.41,19.006,44.303,-177.422,19
DO-93,13.688,0.273,14.233,50.224,-175.287,23
DO-94,10.602,0.155,10.913,68.195,-175.965,16
DO-95,16.12,0.444,17.008,36.288,-173.112,14
DO-96,10.735,1.566,13.867,6.855,-145.203,19
DO-97,21.481,1.508,24.498,14.242,-164.387,21
DO-98,14.07,0.382,14.833,36.879,-171.499,22
99,19.386,0.204,19.793,95.156,-188.575,21
101,22.018,0.207,22.433,106.154,-191.762,NA
102,10.876,0.408,11.692,26.656,-163.662,31
103,24.06,0.24,24.54,100.177,-192.176,34
104,18.006,0.227,18.461,79.156,-185.103,26
105,22.181,0.229,22.64,96.667,-190.601,19
106,19.095,0.397,19.889,48.082,-179.182,25
107,18.422,0.115,18.653,159.978,-194.884,36
109,13.313,0.149,13.61,89.586,-182.704,23
110,19.962,0.176,20.314,113.268,-191.316,20
111,15.697,0.168,16.033,93.519,-185.5,26
113,14.022,0.251,14.524,55.864,-177.044,25
114,20.103,0.272,20.648,73.788,-185.64,22
115,14.665,0.179,15.024,81.768,-182.777,23
116,22.483,0.274,23.031,82.096,-188.583,23
117,11.432,0.088,11.607,130.651,-185.734,24
118,16.807,0.257,17.322,65.277,-181.58,25
119,20.387,0.335,21.056,60.884,-183.241,NA
121,7.311,0.289,7.888,25.337,-157.632,21
122,14.462,0.232,14.926,62.232,-178.913,26
123,12.321,0.356,13.033,34.629,-168.865,33
124,15.583,0.237,16.058,65.705,-180.65,21
125,14.291,0.21,14.71,68.172,-179.98,24
126,7.316,0.372,8.06,19.668,-154.232,30
127,11.057,0.278,11.614,39.732,-169.258,27
128,6.4,0.15,6.699,42.79,-162.895,23
129,13.567,0.3,14.167,45.265,-173.767,27
130,18.104,0.233,18.569,77.773,-184.938,25
131,11.595,0.459,12.513,25.235,-163.786,29
132,12.164,0.277,12.718,43.931,-171.896,23
133,20.047,0.203,20.453,98.642,-189.511,24
134,15.606,0.163,15.932,95.847,-185.753,23
